record_id,rater_id,transcript_id,seed_id,guardrail,profile,variant_id,backend_model,target_turns,actual_turns,rating_duration_sec,g1,g2,g3,g4,g5,a1,a2,a3,a4,a5,a6,a7,a8,a9,s1,s2,r1,r2,r3,r4,r5,guessed_origin,guess_confidence,comment,chat_variability,created_at,transcript_path,a1_anchor,a2_anchor,a3_anchor,a4_anchor,a5_anchor,a6_anchor,a7_anchor,a8_anchor,a9_anchor,s1_anchor,s2_anchor,target_severity_label,functional_impact_label,notes.x,profession,specialization,years_practice,experience_with_mdd,notes.y,plausibility_index,defect_index,a1_error,a2_error,a3_error,a4_error,a5_error,a6_error,a7_error,a8_error,a9_error,symptom_error_mean,severity_error,impact_error
649,13,MDD-AI-SIMULATION-TX-0001,S01,off,R1,G0_R1,pydantic_ai|gpt-5.4,24,40,593,4,4,5,4,5,2,2,3,1,1,3,2,2,0,3,4,1,3,1,2,1,ai_generated,3,"least_convincing: Participantka pomerne dobre naskočila na štruktúru rozhovoru a nemala obzvlášť veľkú tendenciu rozvinúť rozhovor svojím smerom, hoci jej odpovede boli úplné, vždy smerovali k položenej otázke. | missing_or_exaggerated: Interviewer sa nespýtal či takéto ťažkosti vo svojom živote rozpoznáva, či sa to participantovi už niekedy v minulosti stalo pri väčšej záťaži. Na základe tohto rozhovoru by som bola skôr opatrná s vyjadrením diagnózy depresie.",locked,2026-04-01,transcripts/current_export/MDD-AI-SIMULATION-TX-0001.txt,2,2,2,1,1,2,2,2,0,3,3,moderate,moderate,"Obraz je ukotvený nízkou náladou, anhedóniou, únavou, poruchou spánku, vinou a zhoršenou koncentráciou s dopadom na školu a sociálny život. | Nejde len o bežný stres zo štúdia; chýba mánia, psychóza, intoxikácia aj izolovaný problém s jedením.",psychologist,psychotherapy,3_5,daily,interview_experience=minimal; ai_experience=low; confidence_mdd=3; n_ratings=72,4.333333333333333,1.6,0,0,1,0,0,1,0,0,0,0.2222222222222222,0,1
650,13,MDD-AI-SIMULATION-TX-0002,S02,off,R1,G0_R1,pydantic_ai|gpt-5.4,24,40,177,4,4,5,4,4,2,2,3,2,2,3,2,2,0,2,3,2,2,2,2,2,ai_generated,4,"least_convincing: V jednej z odpovedí ku koncu rozhovoru boli neznáme znaky. | missing_or_exaggerated: Niektoré otázky pôsobili sugestívne, čo vyvolávalo dojem, že participant si tú zmenu všimol len na základe upozornenia interviewera.",locked,2026-04-01,transcripts/current_export/MDD-AI-SIMULATION-TX-0002.txt,1,2,2,1,1,3,1,2,0,3,3,moderate,moderate,"Obraz presahuje bežnú smennosť, lebo okrem únavy je prítomná anhedónia, skleslosť, vina, zhoršená koncentrácia a sociálne stiahnutie. | Nejde len o poruchu spánku alebo pracovné preťaženie; chýba mánia, psychóza a primárny vplyv návykových látok.",psychologist,psychotherapy,3_5,daily,interview_experience=minimal; ai_experience=low; confidence_mdd=3; n_ratings=72,4.333333333333333,2,1,0,1,1,1,0,1,0,0,0.5555555555555556,1,0
651,13,MDD-AI-SIMULATION-TX-0003,S03,off,R1,G0_R1,pydantic_ai|gpt-5.4,24,42,189,5,5,5,5,5,3,3,3,2,2,3,3,2,1,5,5,1,1,1,1,1,human_simulated,3,"least_convincing: Možno ten koniec rozhovoru, kedy participantka odpovedala, že nemá plán ani úmysel trochu uberá na vierohodnosti. | missing_or_exaggerated: Neprimerane pôsobil koniec rozhovoru, kedy participantkina odpoveďou pôsobila trochu zvláštne.",locked,2026-04-01,transcripts/current_export/MDD-AI-SIMULATION-TX-0003.txt,2,2,2,1,1,3,2,2,1,4,4,moderately_severe,severe,"Obraz je depresívne ukotvený nízkou náladou, anhedóniou, výraznou únavou, poruchou spánku, vinou, zhoršenou koncentráciou a jasným dopadom doma aj v práci. | Nejde len o burnout alebo preťaženie; prítomné sú jadrové depresívne symptómy aj pasívne myšlienky na smrť bez plánu a bez úmyslu.",psychologist,psychotherapy,3_5,daily,interview_experience=minimal; ai_experience=low; confidence_mdd=3; n_ratings=72,5,1,1,1,1,1,1,0,1,0,0,0.6666666666666666,1,1
652,13,MDD-AI-SIMULATION-TX-0004,S04,off,R1,G0_R1,pydantic_ai|gpt-5.4,24,38,219,2,3,2,3,1,2,2,3,0,1,3,2,2,0,2,3,4,3,4,3,3,ai_generated,3,"least_convincing: V úvode rozhovoru participantove odpovede pôsobili zmätočne - menej sa zapája, no nie je to vidieť. Pôsobí to zvláštne, nepresvedčivo. | missing_or_exaggerated: Chýbalo overenie či je to naozaj depresivitou alebo by to mohlo byť i niečo iné.",locked,2026-04-01,transcripts/current_export/MDD-AI-SIMULATION-TX-0004.txt,1,2,2,0,1,2,1,2,0,3,3,moderate,moderate,"Okrem pracovného tlaku je prítomná anhedónia, znížená nálada, porucha spánku, únava, slabšia koncentrácia a odpojenie vo vzťahu. | Nejde len o pracovné vyhorenie alebo nespokojnosť v práci; chýba mánia, psychóza aj izolovaná úzkosť bez depresívneho jadra.",psychologist,psychotherapy,3_5,daily,interview_experience=minimal; ai_experience=low; confidence_mdd=3; n_ratings=72,2.3333333333333335,3.4,1,0,1,0,0,1,1,0,0,0.4444444444444444,1,0
653,13,MDD-AI-SIMULATION-TX-0005,S05,off,R1,G0_R1,pydantic_ai|gpt-5.4,24,36,170,4,2,4,4,2,3,3,3,2,2,3,2,2,1,3,4,2,4,2,1,2,human_simulated,3,"least_convincing: Typ odpovede pôsobí ako preložený z cudzieho jazyka. V slovenčine sa niektoré zvraty bežne nepoužívajú takto. Porozumie im druhý, no pôsobí to divne. | missing_or_exaggerated: Toto sa týka asi zatiaľ každého rozhovoru a to, či sa niečo  v tom obdobím pred x týždňami stalo.",locked,2026-04-01,transcripts/current_export/MDD-AI-SIMULATION-TX-0005.txt,2,2,2,1,1,3,1,2,0,3,3,moderate,moderate,"Obraz je ukotvený nízkou náladou, anhedóniou, nespavosťou, výraznou únavou, slabšou koncentráciou a funkčným poklesom doma aj v práci. | Nejde len o finančný stres alebo reakciu na rozvod; symptómy sú perzistentné, viacrozmerné a klinicky depresívne.",psychologist,psychotherapy,3_5,daily,interview_experience=minimal; ai_experience=low; confidence_mdd=3; n_ratings=72,4,2.2,1,1,1,1,1,0,1,0,1,0.7777777777777778,0,1
654,13,MDD-AI-SIMULATION-TX-0006,S06,off,R1,G0_R1,pydantic_ai|gpt-5.4,24,36,252,4,4,5,4,4,2,2,3,1,2,3,1,2,0,3,4,1,2,1,2,1,NA,NA,"least_convincing: V časti, kde je participant dotazovaný na náladu spomenie, že nevybuchuje, že má ťažkú náladu. | missing_or_exaggerated: Viac by som sa popýtala na to či sa vo svojom živote nepreťažoval.",locked,2026-04-01,transcripts/current_export/MDD-AI-SIMULATION-TX-0006.txt,1,2,2,0,1,3,1,2,0,3,3,moderate,moderate,"Nejde len o obyčajnú pracovnú únavu, lebo je prítomná anhedónia, skleslosť, porucha spánku, spomalenie, zhoršená koncentrácia a dlhodobý pokles energie. | Obraz je širšie depresívny, nie len somatický alebo pracovný; chýba mánia, psychóza aj závislostný kontext.",psychologist,psychotherapy,3_5,daily,interview_experience=minimal; ai_experience=low; confidence_mdd=3; n_ratings=72,4.333333333333333,1.4,1,0,1,1,1,0,0,0,0,0.4444444444444444,0,1
655,13,MDD-AI-SIMULATION-TX-0007,S07,off,R1,G0_R1,pydantic_ai|gpt-5.4,24,40,238,5,5,5,5,5,3,3,2,1,2,3,1,1,0,5,5,2,1,1,1,1,NA,NA,"least_convincing: Koniec rozhovoru kedy participantka vraví že sa musí vracať skontrolovať či niečo dokončila, to by mohlo naznačovať možno iný klinický obraz a zbytočne zmiasť. | missing_or_exaggerated: Nič.",locked,2026-04-01,transcripts/current_export/MDD-AI-SIMULATION-TX-0007.txt,2,2,1,1,1,2,1,1,0,3,3,moderate,moderate,"Obraz tvorí skleslá nálada, strata záujmu, únava, mierna nespavosť a sociálne stiahnutie po strate rytmu a blízkosti. | Nejde len o bežné ovdovenie alebo starnutie; symptómy sú sústavné, depresívne ladené a funkčne obmedzujúce.",psychologist,psychotherapy,3_5,daily,interview_experience=minimal; ai_experience=low; confidence_mdd=3; n_ratings=72,5,1.2,1,1,1,0,1,1,0,0,0,0.5555555555555556,2,2
656,13,MDD-AI-SIMULATION-TX-0008,S08,off,R1,G0_R1,pydantic_ai|gpt-5.4,24,40,105,2,4,4,3,2,2,2,1,0,2,3,1,1,0,2,3,4,3,4,4,3,ai_generated,4,least_convincing: Participant si vravel v ženskom aj mužskom rode. | missing_or_exaggerated: Chýbalo overenie iného zdravotného problému.,locked,2026-04-01,transcripts/current_export/MDD-AI-SIMULATION-TX-0008.txt,1,2,1,0,1,2,0,1,0,2,2,mild,mild,"Ide o mierny, ale ucelený depresívny obraz s anhedóniou, utlmením, nižšou energiou a slabšou koncentráciou. | Nejde len o nudu po dôchodku; depresívny obraz je síce mierny, ale konzistentný a nie je prítomná mánia, psychóza ani kognitívny syndróm.",psychologist,psychotherapy,3_5,daily,interview_experience=minimal; ai_experience=low; confidence_mdd=3; n_ratings=72,3,3.6,1,0,0,0,1,1,1,0,0,0.4444444444444444,0,1
657,13,MDD-AI-SIMULATION-TX-0009,S09,off,R1,G0_R1,pydantic_ai|gpt-5.4,24,38,78,2,4,4,2,2,3,2,2,0,1,3,2,3,0,1,3,2,1,4,5,1,NA,NA,"least_convincing: Ťažkosti klientky pôsobia, že majú príčinu len v pracovnej oblasti. | missing_or_exaggerated: Nič.",locked,2026-04-01,transcripts/current_export/MDD-AI-SIMULATION-TX-0009.txt,2,2,2,0,1,2,2,3,0,3,3,moderate,moderate,"Obraz je ukotvený skleslosťou, anhedóniou, poruchou spánku, únavou, vinou a výrazným zhoršením koncentrácie. | Nejde len o výkonový stres alebo úzkosť; prítomná je strata radosti, sebazneisťovanie a funkčný dopad typický pre depresívny obraz.",psychologist,psychotherapy,3_5,daily,interview_experience=minimal; ai_experience=low; confidence_mdd=3; n_ratings=72,2.6666666666666665,2.6,1,0,0,0,0,1,0,0,0,0.2222222222222222,2,0
658,13,MDD-AI-SIMULATION-TX-0010,S10,off,R1,G0_R1,pydantic_ai|gpt-5.4,24,40,144,4,4,4,5,4,2,3,3,2,2,3,2,2,1,4,4,1,2,1,1,1,NA,NA,least_convincing: Nič. | missing_or_exaggerated: Nič.,locked,2026-04-01,transcripts/current_export/MDD-AI-SIMULATION-TX-0010.txt,1,2,2,1,1,2,1,2,1,3,3,moderate,moderate,"Okrem stagnácie je prítomná anhedónia, nespavosť, únava, slabšia koncentrácia, vina, sociálne stiahnutie a pasívne myšlienky na smrť bez plánu a bez úmyslu. | Nejde len o frustráciu z práce alebo adaptačný problém; prítomný je konzistentný depresívny syndróm aj s bezpečnostným A9 signálom.",psychologist,psychotherapy,3_5,daily,interview_experience=minimal; ai_experience=low; confidence_mdd=3; n_ratings=72,4.333333333333333,1.2,1,1,1,1,1,1,1,0,0,0.7777777777777778,1,1
659,13,MDD-AI-SIMULATION-TX-0011,S11,off,R1,G0_R1,pydantic_ai|gpt-5.4,24,40,305,4,4,5,5,4,3,3,3,2,2,3,2,2,0,3,3,1,2,1,1,1,NA,NA,"least_convincing: Koniec rozhovoru, kedy sa interviewer pýta na myšlienky na samovraždu, participantka odpovedá aj o úmysle. Uberá to na prirodzenosti. | missing_or_exaggerated: Nič nebolo prehnané.",locked,2026-04-01,transcripts/current_export/MDD-AI-SIMULATION-TX-0011.txt,2,2,2,1,1,3,2,1,0,3,4,moderate,severe,"Obraz tvorí skleslá nálada, anhedónia, nespavosť, výrazná únava, vina a sociálne stiahnutie s jasným poklesom dennej štruktúry. | Nejde len o nízky príjem alebo izoláciu; symptómy sú pervazívne, depresívne a funkčne výrazné.",psychologist,psychotherapy,3_5,daily,interview_experience=minimal; ai_experience=low; confidence_mdd=3; n_ratings=72,4.666666666666667,1.2,1,1,1,1,1,0,0,1,0,0.6666666666666666,0,1
660,13,MDD-AI-SIMULATION-TX-0012,S12,off,R1,G0_R1,pydantic_ai|gpt-5.4,24,38,93,4,4,4,4,4,2,3,3,1,1,3,2,2,0,3,3,2,3,2,2,2,NA,NA,least_convincing: Začiatok rozhovoru bol skvelý. Ku koncu to spelo k automatizmom. | missing_or_exaggerated: Nič nepôsobilo neprimerane.,locked,2026-04-01,transcripts/current_export/MDD-AI-SIMULATION-TX-0012.txt,1,2,2,0,1,2,1,2,0,3,3,moderate,moderate,"Obraz je depresívne ukotvený anhedóniou, zníženou náladou, poruchou spánku, únavou, vinou a zhoršenou koncentráciou. | Nejde len o primeranú reakciu na pracovnú záťaž; prítomné sú aj neurovegetatívne a afektívne symptómy naprieč prácou a rodinou.",psychologist,psychotherapy,3_5,daily,interview_experience=minimal; ai_experience=low; confidence_mdd=3; n_ratings=72,4,2.2,1,1,1,1,0,1,1,0,0,0.6666666666666666,0,0
661,13,MDD-AI-SIMULATION-TX-0013,S01,on,R3,G1_R3,pydantic_ai|gpt-5.4,24,24,146,4,5,5,5,5,2,2,3,1,1,3,2,2,0,3,4,1,1,1,1,1,NA,NA,"least_convincing: Participanti sú v týchto rozhovoroch zhovorčiví v zmysle, že poskytnú úplnú odpoveď. Znižuje to vierohodnosť obzvlášť v depresívnej symptomatike. | missing_or_exaggerated: Nič, okrem už predtým spomenutého.",locked,2026-04-02,transcripts/current_export/MDD-AI-SIMULATION-TX-0013.txt,2,2,2,1,1,2,2,2,0,3,3,moderate,moderate,"Obraz je ukotvený nízkou náladou, anhedóniou, únavou, poruchou spánku, vinou a zhoršenou koncentráciou s dopadom na školu a sociálny život. | Nejde len o bežný stres zo štúdia; chýba mánia, psychóza, intoxikácia aj izolovaný problém s jedením.",psychologist,psychotherapy,3_5,daily,interview_experience=minimal; ai_experience=low; confidence_mdd=3; n_ratings=72,4.666666666666667,1,0,0,1,0,0,1,0,0,0,0.2222222222222222,0,1
662,13,MDD-AI-SIMULATION-TX-0014,S01,off,R2,G0_R2,pydantic_ai|gpt-5.4,24,32,194,4,4,3,4,2,2,2,3,1,1,3,2,2,0,3,3,4,2,2,2,2,NA,NA,"least_convincing: Prirodzenosť znižuje rozpor kedy participantka vraví že je to iné ako bežná únava a na konci rozhovoru povie že je vlastne len preťažená. | missing_or_exaggerated: Možno by bolo fajn doplniť v odpovediach či sa vedia ráno prebudiť alebo je to náročné. Pomerne veľký fokus je na zaspávanie a kvalitu spánku, avšak aj zobúdzanie by tam malo mať svoje miesto.",locked,2026-04-02,transcripts/current_export/MDD-AI-SIMULATION-TX-0014.txt,2,2,2,1,1,2,2,2,0,3,3,moderate,moderate,"Obraz je ukotvený nízkou náladou, anhedóniou, únavou, poruchou spánku, vinou a zhoršenou koncentráciou s dopadom na školu a sociálny život. | Nejde len o bežný stres zo štúdia; chýba mánia, psychóza, intoxikácia aj izolovaný problém s jedením.",psychologist,psychotherapy,3_5,daily,interview_experience=minimal; ai_experience=low; confidence_mdd=3; n_ratings=72,3.6666666666666665,2.4,0,0,1,0,0,1,0,0,0,0.2222222222222222,0,0
663,13,MDD-AI-SIMULATION-TX-0015,S02,off,R2,G0_R2,pydantic_ai|gpt-5.4,24,32,127,4,4,4,4,4,2,2,3,2,1,3,1,2,0,3,3,2,2,2,2,2,NA,NA,"least_convincing: Pri tomto rozhovore vnímam určitú sugestivitu, čo ale pozorujem skôr na odpovediach participanta. | missing_or_exaggerated: Zameranie sa na to kam mu utekajú myšlienky.",locked,2026-04-02,transcripts/current_export/MDD-AI-SIMULATION-TX-0015.txt,1,2,2,1,1,3,1,2,0,3,3,moderate,moderate,"Obraz presahuje bežnú smennosť, lebo okrem únavy je prítomná anhedónia, skleslosť, vina, zhoršená koncentrácia a sociálne stiahnutie. | Nejde len o poruchu spánku alebo pracovné preťaženie; chýba mánia, psychóza a primárny vplyv návykových látok.",psychologist,psychotherapy,3_5,daily,interview_experience=minimal; ai_experience=low; confidence_mdd=3; n_ratings=72,4,2,1,0,1,1,0,0,0,0,0,0.3333333333333333,0,0
664,13,MDD-AI-SIMULATION-TX-0016,S03,off,R2,G0_R2,pydantic_ai|gpt-5.4,24,36,99,5,4,4,5,5,3,3,3,2,2,3,2,2,1,4,4,1,1,1,1,1,NA,NA,least_convincing: Nič. | missing_or_exaggerated: Dosiaľ v rozhovoroch chýba pohľad na prežívanie sexuality.,locked,2026-04-02,transcripts/current_export/MDD-AI-SIMULATION-TX-0016.txt,2,2,2,1,1,3,2,2,1,4,4,moderately_severe,severe,"Obraz je depresívne ukotvený nízkou náladou, anhedóniou, výraznou únavou, poruchou spánku, vinou, zhoršenou koncentráciou a jasným dopadom doma aj v práci. | Nejde len o burnout alebo preťaženie; prítomné sú jadrové depresívne symptómy aj pasívne myšlienky na smrť bez plánu a bez úmyslu.",psychologist,psychotherapy,3_5,daily,interview_experience=minimal; ai_experience=low; confidence_mdd=3; n_ratings=72,4.666666666666667,1,1,1,1,1,1,0,0,0,0,0.5555555555555556,0,0
665,13,MDD-AI-SIMULATION-TX-0017,S04,off,R2,G0_R2,pydantic_ai|gpt-5.4,24,32,130,3,4,4,3,2,2,3,3,0,1,3,2,2,1,2,3,2,2,4,4,2,NA,NA,least_convincing: Slabší presah naprieč životom klienta. Orientácia hlavne akoby na vyčerpanej. | missing_or_exaggerated: Nič.,locked,2026-04-02,transcripts/current_export/MDD-AI-SIMULATION-TX-0017.txt,1,2,2,0,1,2,1,2,0,3,3,moderate,moderate,"Okrem pracovného tlaku je prítomná anhedónia, znížená nálada, porucha spánku, únava, slabšia koncentrácia a odpojenie vo vzťahu. | Nejde len o pracovné vyhorenie alebo nespokojnosť v práci; chýba mánia, psychóza aj izolovaná úzkosť bez depresívneho jadra.",psychologist,psychotherapy,3_5,daily,interview_experience=minimal; ai_experience=low; confidence_mdd=3; n_ratings=72,3.3333333333333335,2.8,1,1,1,0,0,1,1,0,1,0.6666666666666666,1,0
666,13,MDD-AI-SIMULATION-TX-0018,S05,off,R2,G0_R2,pydantic_ai|gpt-5.4,24,30,41,3,4,4,3,2,2,2,3,2,2,3,2,2,0,2,2,1,1,4,4,1,NA,NA,least_convincing: Depresevita slabo viditeľná. | missing_or_exaggerated: Nič.,locked,2026-04-02,transcripts/current_export/MDD-AI-SIMULATION-TX-0018.txt,2,2,2,1,1,3,1,2,0,3,3,moderate,moderate,"Obraz je ukotvený nízkou náladou, anhedóniou, nespavosťou, výraznou únavou, slabšou koncentráciou a funkčným poklesom doma aj v práci. | Nejde len o finančný stres alebo reakciu na rozvod; symptómy sú perzistentné, viacrozmerné a klinicky depresívne.",psychologist,psychotherapy,3_5,daily,interview_experience=minimal; ai_experience=low; confidence_mdd=3; n_ratings=72,3.3333333333333335,2.2,0,0,1,1,1,0,1,0,0,0.4444444444444444,1,1
